Timestamp,Frame,Count,FPS,Avg_Confidence
2025-12-29 15:51:28.250,1,6,0.5,0.52
2025-12-29 15:51:28.354,2,4,35.7,0.58
2025-12-29 15:51:28.410,3,6,30.8,0.5
2025-12-29 15:51:28.452,4,3,57.5,0.55
2025-12-29 15:51:28.500,5,5,55.4,0.54
2025-12-29 15:51:28.555,6,3,29.4,0.63
2025-12-29 15:51:28.631,7,1,20.3,0.58
2025-12-29 15:51:28.708,8,3,17.3,0.44
2025-12-29 15:51:28.775,9,1,25.1,0.55
2025-12-29 15:51:28.815,10,3,47.1,0.49
2025-12-29 15:51:28.856,11,3,46.5,0.49
2025-12-29 15:51:28.905,12,4,32.6,0.57
2025-12-29 15:51:28.938,13,4,61.6,0.56
2025-12-29 15:51:28.982,14,5,57.0,0.51
2025-12-29 15:51:29.117,15,3,47.8,0.45
2025-12-29 15:51:29.156,16,2,63.5,0.52
2025-12-29 15:51:29.214,17,2,56.9,0.56
2025-12-29 15:51:29.253,18,2,56.4,0.54
2025-12-29 15:51:29.310,19,2,37.0,0.61
2025-12-29 15:51:29.348,20,3,42.4,0.54
2025-12-29 15:51:29.402,21,3,42.6,0.54
2025-12-29 15:51:29.451,22,3,32.6,0.57
2025-12-29 15:51:29.508,23,2,25.5,0.57
2025-12-29 15:51:29.555,24,2,39.8,0.58
2025-12-29 15:51:29.617,25,3,27.8,0.51
2025-12-29 15:51:29.667,26,3,46.0,0.5
2025-12-29 15:51:29.725,27,3,35.8,0.55
2025-12-29 15:51:29.766,28,2,46.6,0.54
2025-12-29 15:51:29.806,29,1,44.0,0.67
2025-12-29 15:51:29.898,30,2,26.3,0.57
2025-12-29 15:51:29.928,31,2,60.1,0.63
2025-12-29 15:51:29.959,32,2,63.5,0.63
2025-12-29 15:51:29.991,33,1,60.8,0.58
2025-12-29 15:51:30.030,34,3,51.3,0.49
2025-12-29 15:51:30.067,35,2,54.8,0.57
2025-12-29 15:51:30.114,36,1,61.7,0.43
2025-12-29 15:51:30.152,37,2,56.1,0.57
2025-12-29 15:51:30.189,38,2,53.7,0.51
2025-12-29 15:51:30.224,39,2,56.9,0.64
2025-12-29 15:51:30.267,40,1,55.3,0.54
2025-12-29 15:51:30.312,41,2,43.3,0.49
2025-12-29 15:51:30.360,42,1,38.4,0.53
2025-12-29 15:51:30.412,43,3,35.5,0.62
2025-12-29 15:51:30.466,44,2,31.8,0.62
2025-12-29 15:51:30.533,45,4,35.8,0.59
2025-12-29 15:51:30.577,46,3,48.5,0.59
2025-12-29 15:51:30.644,47,4,52.5,0.56
2025-12-29 15:51:30.685,48,2,45.6,0.53
2025-12-29 15:51:30.723,49,0,54.2,0.0
2025-12-29 15:51:30.761,50,1,53.9,0.63
2025-12-29 15:51:30.807,51,2,63.8,0.56
2025-12-29 15:51:30.847,52,2,55.5,0.56
2025-12-29 15:51:30.894,53,1,45.6,0.65
2025-12-29 15:51:30.936,54,0,72.4,0.0
2025-12-29 15:51:30.984,55,1,51.1,0.58
2025-12-29 15:51:31.033,56,0,74.1,0.0
2025-12-29 15:51:31.072,57,0,57.8,0.0
2025-12-29 15:51:31.109,58,0,78.5,0.0
2025-12-29 15:51:31.147,59,0,48.7,0.0
